,gene_name,gene_biotype,P14E1KO_1_1_count,P14E1KO_1_3_count,P14E2KO_1_1_count,P14E2KO_1_3_count,P14E1WT_2_2_count,P14E1WT_2_4_count,P14E1WT_2_5_count,P14E2WT_2_1_count,P14E2WT_2_5_count
Mfsd2b,Mfsd2b,protein_coding,112,77,117,103,13,28,45,41,48
Fam13b,Fam13b,protein_coding,1157,873,1074,1283,870,780,846,842,718
Mcoln1,Mcoln1,protein_coding,834,839,974,998,525,504,708,579,536
Duoxa1,Duoxa1,protein_coding,25,31,45,50,161,153,92,87,127
Eif1a,Eif1a,protein_coding,2010,1378,1880,2362,3830,3052,2261,2707,2981
Lgals9,Lgals9,protein_coding,1127,1780,2247,2158,6177,5989,2926,3708,5860
Pheta1,Pheta1,protein_coding,1516,1521,1757,2194,888,974,1168,1414,913
Tymp,Tymp,protein_coding,119,115,100,133,55,44,75,47,39
Prr15l,Prr15l,protein_coding,4902,4072,4725,5041,3176,3085,3695,3765,3088
Cpn1,Cpn1,protein_coding,282,319,596,319,54,119,123,148,149
Aqp8,Aqp8,protein_coding,5398,6132,13375,7112,1134,898,2202,2983,1592
Tspan3,Tspan3,protein_coding,5726,4768,5440,7354,4130,3411,4393,4464,3730
Nin,Nin,protein_coding,152,124,162,121,427,374,295,228,256
Osmr,Osmr,protein_coding,5,15,19,23,249,281,134,99,287
Sema6a,Sema6a,protein_coding,419,468,397,638,160,201,324,263,195
Gsdmcl2,Gsdmcl2,transcribed_unprocessed_pseudogene,964,714,596,1527,430,528,357,535,315
Sfxn3,Sfxn3,protein_coding,765,659,678,907,198,200,388,453,175
Aldh2,Aldh2,protein_coding,15754,12107,11069,20432,6208,6263,7790,10374,5617
Agbl2,Agbl2,protein_coding,86,102,76,90,2,3,35,16,9
Gpt2,Gpt2,protein_coding,479,387,400,628,183,227,308,280,196
Rorc,Rorc,protein_coding,934,717,1365,992,456,491,614,684,469
Serp1,Serp1,protein_coding,4855,3944,5807,5786,8580,7325,7247,6994,7997
Slc15a1,Slc15a1,protein_coding,632,553,467,383,137,126,241,181,233
Pld3,Pld3,protein_coding,687,507,672,801,521,457,484,552,430
Smap2,Smap2,protein_coding,975,891,1087,1331,1813,1650,1327,1489,1391
Rassf4,Rassf4,protein_coding,444,436,603,701,1294,1077,1008,1047,1037
Sned1,Sned1,protein_coding,629,469,643,826,415,362,445,461,307
Nsmf,Nsmf,protein_coding,1957,1603,2254,2237,1163,1186,1359,1629,1261
Srp54c,Srp54c,protein_coding,216,168,238,281,355,361,270,334,349
Prss16,Prss16,protein_coding,29,32,52,59,115,158,116,70,103
Cdhr5,Cdhr5,protein_coding,13141,14479,16106,15605,7669,7858,9166,10625,9885
Zfp467,Zfp467,protein_coding,1029,690,860,1236,421,465,574,735,374
Caprin1,Caprin1,protein_coding,6318,4956,6957,8182,9771,8825,7884,7849,7739
Hnrnpa1,Hnrnpa1,protein_coding,7019,5140,6717,8879,10241,8475,8497,8486,8447
Cyp4f16,Cyp4f16,protein_coding,1313,1310,1632,1545,940,999,969,952,785
Rad23b,Rad23b,protein_coding,2956,2377,3299,3538,5278,4034,3700,4045,3859
Ctsc,Ctsc,protein_coding,1656,1638,1663,2872,4350,3893,2769,3121,3596
Asns,Asns,protein_coding,617,465,719,644,1568,1136,990,906,1271
Hykk,Hykk,protein_coding,142,95,130,204,30,56,77,67,33
X1810037I17Rik,1810037I17Rik,protein_coding,1521,1168,1527,1855,1407,919,995,1163,1056
Prmt2,Prmt2,protein_coding,287,209,265,321,138,150,172,196,172
Kifc3,Kifc3,protein_coding,476,445,523,650,395,285,353,412,320
Metap2,Metap2,protein_coding,2487,2217,2841,3226,4825,3719,3332,3441,3869
Tmed5,Tmed5,protein_coding,1102,843,1209,1334,1845,1502,1406,1348,1459
Plod1,Plod1,protein_coding,215,152,231,223,124,116,145,119,95
Hsd17b2,Hsd17b2,protein_coding,1982,1700,2244,1949,887,908,1346,1366,871
Erap1,Erap1,protein_coding,1583,1411,1634,2208,3065,2715,2377,2400,2482
Tead4,Tead4,protein_coding,67,65,60,79,169,242,102,96,171
Mettl7a1,Mettl7a1,protein_coding,2900,2881,2243,3576,1125,1330,1743,1857,1005
Trim15,Trim15,protein_coding,1108,1150,1048,1548,3565,3111,1380,2007,4313
Pla2g12b,Pla2g12b,protein_coding,36,55,43,41,168,155,65,110,139
Gm44507,Gm44507,lincRNA,12,22,37,19,0,1,8,2,1
Usp18,Usp18,protein_coding,23,35,32,41,166,137,93,64,161
S100a11,S100a11,protein_coding,1787,1509,2111,2310,4496,3064,2484,2813,4102
Cfh,Cfh,protein_coding,5,0,1,6,180,214,76,69,342
Selenbp1,Selenbp1,protein_coding,20404,22416,16945,21507,7062,6980,12287,13859,5273
Lpgat1,Lpgat1,protein_coding,1438,1052,1548,1800,2292,1916,1742,1778,1851
Oplah,Oplah,protein_coding,707,622,867,996,338,410,541,518,256
Ybx2,Ybx2,protein_coding,1300,722,825,1291,492,454,658,668,338
D330045A20Rik,D330045A20Rik,protein_coding,76,61,69,89,41,31,34,37,42
Ppp1r37,Ppp1r37,protein_coding,2787,2405,2942,3546,2159,2060,2292,2541,1967
Ankrd9,Ankrd9,protein_coding,892,717,805,1050,558,409,452,611,391
D16Ertd472e,D16Ertd472e,protein_coding,27,27,16,44,88,131,41,101,108
Zfp688,Zfp688,protein_coding,160,142,209,241,124,111,131,128,121
Cdc42bpg,Cdc42bpg,protein_coding,4639,3899,4622,5969,3662,3373,3846,4112,3088
Batf2,Batf2,protein_coding,531,646,484,656,1921,1809,815,1132,1442
Ahcyl2,Ahcyl2,protein_coding,11984,11840,11436,12984,4669,5683,7405,7077,4049
S100a6,S100a6,protein_coding,13979,12733,14578,16095,9492,8574,8694,11821,9585
Sec61a1,Sec61a1,protein_coding,4264,3477,4960,5027,8059,6385,5664,5808,6688
Pgd,Pgd,protein_coding,5213,5303,5753,6828,10783,8693,7628,7686,8833
Acsl5,Acsl5,protein_coding,1923,1652,1948,2654,3540,2887,2660,2606,2825
Pdia3,Pdia3,protein_coding,12358,10349,12412,15018,21984,19660,16200,15603,18280
Snx10,Snx10,protein_coding,249,326,337,506,1069,891,580,614,881
Lrp8,Lrp8,protein_coding,214,222,266,239,827,578,529,412,602
Abhd8,Abhd8,protein_coding,266,229,389,390,219,174,246,215,157
Coq10a,Coq10a,protein_coding,421,306,348,404,209,225,227,303,208
Slc16a11,Slc16a11,protein_coding,125,107,131,169,70,69,94,81,60
Pgk1,Pgk1,protein_coding,6138,5539,6478,7394,13859,10154,8337,8211,10121
Dhrs11,Dhrs11,protein_coding,2252,2298,2957,2631,1091,1424,1684,1957,1200
Cnp,Cnp,protein_coding,908,702,772,1157,1608,1375,1068,1264,1304
Gnai1,Gnai1,protein_coding,318,134,225,177,81,13,70,97,35
Adamtsl5,Adamtsl5,protein_coding,263,215,381,260,69,93,129,213,112
Car2,Car2,protein_coding,17151,12219,16223,17224,8532,7027,11648,10999,6073
Gm7964,Gm7964,processed_pseudogene,1022,860,939,1124,1337,1410,1188,1321,1191
Ada,Ada,protein_coding,180,131,215,179,416,284,303,317,330
Mycbpap,Mycbpap,protein_coding,303,318,377,406,90,149,194,236,115
Psmc2,Psmc2,protein_coding,1528,1277,1549,1782,2697,2012,1997,2001,2098
Sh3d21,Sh3d21,protein_coding,1265,857,760,1111,504,626,579,610,439
Pdxk,Pdxk,protein_coding,554,458,522,676,249,268,330,393,217
Gm12551,Gm12551,unprocessed_pseudogene,50,32,47,31,14,12,16,15,16
Ephx2,Ephx2,protein_coding,421,337,471,554,199,197,312,355,200
Maob,Maob,protein_coding,704,585,584,907,430,339,487,549,295
Odf3b,Odf3b,protein_coding,206,131,180,186,10,5,40,54,11
Mib2,Mib2,protein_coding,998,835,1214,1265,549,633,629,941,653
Lars,Lars,protein_coding,1198,936,1396,1581,1861,1575,1734,1523,1702
Acbd4,Acbd4,protein_coding,315,265,430,365,203,205,239,260,194
Muc1,Muc1,protein_coding,109,82,121,139,677,593,277,435,648
Sectm1b,Sectm1b,protein_coding,2571,4174,4096,3188,1105,1594,2029,2115,1932
Gm5485,Gm5485,protein_coding,1408,1132,1723,1907,520,581,888,1267,599
Sult1b1,Sult1b1,protein_coding,1923,1989,2026,2049,1045,1016,1463,1305,1335
Fam222a,Fam222a,protein_coding,345,190,216,430,95,77,151,183,95
Zrsr1,Zrsr1,protein_coding,207,164,247,257,139,107,115,176,115
X9830144P21Rik,9830144P21Rik,processed_transcript,711,524,361,498,204,183,235,199,122
Tnf,Tnf,protein_coding,745,616,1147,1877,3164,3112,1610,2177,2630
Gm36738,Gm36738,lincRNA,77,88,94,124,43,54,51,72,46
Cnksr3,Cnksr3,protein_coding,575,506,491,638,249,249,437,315,237
Elk3,Elk3,protein_coding,29,10,16,26,52,55,58,37,63
Pfkfb4,Pfkfb4,protein_coding,750,552,1127,745,437,384,513,434,478
Sfxn5,Sfxn5,protein_coding,363,233,262,504,126,157,211,185,133
Hist1h2bc,Hist1h2bc,protein_coding,1939,2197,2333,2153,953,778,1424,1442,959
Abcb9,Abcb9,protein_coding,177,141,206,216,120,98,133,112,118
Ptk6,Ptk6,protein_coding,309,373,420,438,1442,1249,673,737,1355
Rasgef1b,Rasgef1b,protein_coding,1493,977,1147,1237,436,564,657,756,345
Nceh1,Nceh1,protein_coding,467,502,771,871,269,260,472,367,249
Pla2g15,Pla2g15,protein_coding,197,115,221,208,126,105,108,137,77
Rab11fip3,Rab11fip3,protein_coding,729,552,830,876,516,507,587,643,476
Dennd5b,Dennd5b,protein_coding,374,265,387,439,235,150,231,275,139
Eif4e,Eif4e,protein_coding,1268,963,1324,1443,1969,1670,1509,1535,1643
Ttll3,Ttll3,protein_coding,348,294,517,473,154,215,205,326,192
Sidt1,Sidt1,protein_coding,933,580,965,894,1679,1716,1071,1256,1615
Atp11c,Atp11c,protein_coding,466,406,432,491,637,661,578,597,663
Tmem139,Tmem139,protein_coding,643,637,1012,890,404,493,489,526,424
Prdx6,Prdx6,protein_coding,27658,25756,19286,21021,12497,11030,12486,14230,11260
Tstd1,Tstd1,protein_coding,1639,1536,1813,2047,990,867,1377,1361,911
Ehbp1,Ehbp1,protein_coding,254,206,265,349,184,152,197,204,173
Pllp,Pllp,protein_coding,304,259,235,410,195,170,136,195,131
Wwtr1,Wwtr1,protein_coding,24,18,45,35,9,5,11,12,6
Espn,Espn,protein_coding,1489,1449,1543,1784,931,879,950,1162,1254
Heg1,Heg1,protein_coding,291,230,424,496,532,692,542,542,559
Gpx2,Gpx2,protein_coding,8349,6414,8384,10556,21556,15545,12570,15023,20105
Sycn,Sycn,protein_coding,9680,6789,4148,12643,665,945,1198,2773,554
Tgm2,Tgm2,protein_coding,524,490,921,783,4554,2650,1410,1699,4820
Ero1l,Ero1l,protein_coding,883,778,935,1040,1722,1420,1126,1289,1728
Tulp3,Tulp3,protein_coding,64,34,51,63,156,164,108,76,109
Ntn4,Ntn4,protein_coding,159,111,173,145,57,54,99,67,47
Spint2,Spint2,protein_coding,23318,21153,26311,29429,17116,17227,17366,21325,18765
Snx15,Snx15,protein_coding,679,526,722,817,594,482,558,567,480
Pam,Pam,protein_coding,2211,1830,1750,2916,1343,1156,1504,1438,1103
Vstm5,Vstm5,protein_coding,157,261,383,278,134,124,173,158,109
Bpgm,Bpgm,protein_coding,1009,861,1248,1177,1806,1501,1352,1541,1531
Sec13,Sec13,protein_coding,1752,1354,1733,1910,2546,2049,2116,2211,2228
Rlim,Rlim,protein_coding,1316,962,1269,1555,1879,1774,1493,1456,1558
Scfd1,Scfd1,protein_coding,801,764,933,1031,1289,1311,1170,1187,1297
Selenot,Selenot,protein_coding,2711,2332,3066,3374,4122,3916,3321,3382,3616
Reg3d,Reg3d,protein_coding,0,1,11,11,51,37,22,32,104
Gm49427,Gm49427,lincRNA,33,13,9,27,0,0,3,2,0
Atg16l2,Atg16l2,protein_coding,325,266,439,379,157,197,214,265,148
Ttll10,Ttll10,protein_coding,406,282,484,441,159,222,308,210,213
Itgb1,Itgb1,protein_coding,4293,3593,4862,5766,5961,5513,5334,5297,5030
Ddx52,Ddx52,protein_coding,638,418,608,695,902,776,772,698,765
Tsc22d4,Tsc22d4,protein_coding,2007,1840,2438,2669,1449,1453,1646,1954,1423
Lamb3,Lamb3,protein_coding,2850,2591,3256,2879,1842,1960,1766,1923,1870
Gramd1b,Gramd1b,protein_coding,397,190,327,369,168,172,191,201,224
Ppef1,Ppef1,protein_coding,6,2,0,1,79,20,17,2,31
Tars,Tars,protein_coding,2098,1590,2206,2275,3234,2610,2492,2601,2658
Arhgap27,Arhgap27,protein_coding,4287,3411,5260,5086,2708,3009,2973,4089,2801
Syn2,Syn2,protein_coding,172,89,70,199,43,58,47,56,43
Fth1,Fth1,protein_coding,18197,19472,26783,24536,12417,11337,14993,18126,14476
Dcp2,Dcp2,protein_coding,1212,1212,1456,1762,2841,2422,2042,1830,2191
Zfp106,Zfp106,protein_coding,2470,2131,2718,3183,3948,3265,2966,3117,3061
Hspa5,Hspa5,protein_coding,23307,18350,22403,27832,37519,34657,24468,32722,29289
Cachd1,Cachd1,protein_coding,1842,1301,1577,2453,1024,1042,1138,1451,893
Fahd1,Fahd1,protein_coding,1024,865,845,1112,620,666,716,773,665
Cers4,Cers4,protein_coding,1179,1076,1114,1558,822,816,971,966,842
Gusb,Gusb,protein_coding,915,608,1014,1068,1822,1504,1290,1269,1585
Bcam,Bcam,protein_coding,193,133,151,203,84,73,88,109,79
Lrrc4,Lrrc4,protein_coding,0,0,3,0,18,24,5,9,24
Itpr2,Itpr2,protein_coding,654,541,661,977,265,354,403,549,264
Tram1,Tram1,protein_coding,1752,1344,1908,2051,2957,2414,2074,2200,2454
Ccdc88b,Ccdc88b,protein_coding,34,71,112,67,283,345,162,122,258
Tmcc3,Tmcc3,protein_coding,5191,4414,6099,6793,8708,10790,6319,7717,7366
E2f2,E2f2,protein_coding,1080,1049,1368,1760,2339,2015,1752,1755,1788
Snd1,Snd1,protein_coding,2634,2538,2950,4059,5575,4968,4326,3849,4642
Pbdc1,Pbdc1,protein_coding,391,278,409,422,721,491,532,506,532
Cox7a1,Cox7a1,protein_coding,487,515,470,554,187,257,359,315,200
Gm13835,Gm13835,processed_pseudogene,659,539,768,813,1177,902,924,964,1135
Dock3,Dock3,protein_coding,153,75,89,209,63,59,83,66,41
Cstf2,Cstf2,protein_coding,1446,1253,1584,1834,2515,2330,2158,2172,2140
Pdk2,Pdk2,protein_coding,1096,968,966,1385,381,533,787,767,471
Neu1,Neu1,protein_coding,3571,3675,4365,3925,1503,1609,2309,2950,2482
Insl6,Insl6,protein_coding,66,79,55,96,177,171,138,107,132
X3930402G23Rik,3930402G23Rik,lincRNA,39,56,38,50,138,136,100,56,91
Kcnf1,Kcnf1,protein_coding,326,170,174,283,79,93,145,104,51
Wfdc2,Wfdc2,protein_coding,3391,2231,2522,5045,1476,1188,1601,2590,1332
Stub1,Stub1,protein_coding,1084,771,1051,1204,906,707,760,916,765
Shroom4,Shroom4,protein_coding,65,41,57,66,37,13,37,27,18
Psmd14,Psmd14,protein_coding,1203,1020,1312,1407,2137,1679,1593,1548,1725
Adam10,Adam10,protein_coding,2255,1821,2158,2968,3547,3427,2677,2704,2867
Afap1l2,Afap1l2,protein_coding,63,51,48,55,10,12,19,12,2
Nox1,Nox1,protein_coding,1639,1190,1584,2182,4197,4236,3359,3740,3315
Hpgd,Hpgd,protein_coding,2506,2351,2146,2824,1035,1029,1889,1656,1286
Arid3a,Arid3a,protein_coding,65,53,82,73,205,165,101,95,149
Fam124a,Fam124a,protein_coding,273,226,283,401,651,642,431,381,463
Rnf167,Rnf167,protein_coding,1025,885,1184,1412,567,714,864,837,709
Lrrc59,Lrrc59,protein_coding,4818,3842,5298,5653,10065,7162,6458,6345,7440
Kcnk5,Kcnk5,protein_coding,2704,2014,2379,2967,1527,1608,1753,2051,1382
Bglap3,Bglap3,protein_coding,132,164,366,279,70,63,94,140,110
Mlkl,Mlkl,protein_coding,443,563,523,584,1285,1138,824,740,1093
Tspan33,Tspan33,protein_coding,853,342,538,874,288,155,332,394,159
Acnat1,Acnat1,protein_coding,390,397,448,459,208,238,312,261,206
Por,Por,protein_coding,2583,3062,4061,3515,1839,1671,2217,2559,1714
Gmds,Gmds,protein_coding,5892,4563,5924,7166,8656,7677,7355,7568,8293
Psat1,Psat1,protein_coding,274,264,285,306,932,548,473,355,646
Mx1,Mx1,protein_coding,206,219,512,361,156,175,108,158,180
Cbx2,Cbx2,protein_coding,234,163,237,283,173,162,177,185,136
Gml,Gml,protein_coding,8,3,9,1,41,13,23,26,124
Pnpo,Pnpo,protein_coding,1138,1322,1793,1478,796,826,885,1159,763
Gmpr,Gmpr,protein_coding,356,272,237,460,203,132,214,241,122
Sap30l,Sap30l,protein_coding,859,734,897,910,702,544,567,677,598
Abca13,Abca13,protein_coding,17,34,6,13,147,136,44,23,88
Rpn1,Rpn1,protein_coding,5535,4547,5782,6826,10061,7734,7273,7166,8239
Frat2,Frat2,protein_coding,1353,861,1015,2056,693,623,733,1021,592
Usp2,Usp2,protein_coding,626,572,646,660,499,393,449,498,400
Kifc2,Kifc2,protein_coding,751,729,1150,879,174,318,451,669,252
Plscr4,Plscr4,protein_coding,61,65,83,68,9,14,28,34,36
