gene_id gene_name gene_biotype P14E1Vil_1_1_count P14E1Vil_1_3_count P14E2Vil_1_1_count P14E2Vil_1_2_count P14E2Vil_1_3_count P14E1Vil_2_4_count P14E2Vil_2_5_count P13E2Cad_2_3_count P13E2Cad_2_4_count P13E2Cad_1_1_count P13E2Cad_1_3_count P13E2Cad_1_4_count P13E2Cad_1_5_count P13E1Col_1_3_count P13E1Col_1_4_count P13E1Col_1_5_count P13E1Col_1_6_count P13E1Col_1_7_count a10 a19 a20 a9
Tbx2 ENSMUSG00000000093 Tbx2 protein_coding 333 422 499 350 345 100 279 258 157 219 209 164 172 334 193 319 169 194 152 156 191 157
Tbx4 ENSMUSG00000000094 Tbx4 protein_coding 7 21 25 16 25 4 18 19 9 8 4 15 7 19 13 31 6 10 7 8 12 3
Ngfr ENSMUSG00000000120 Ngfr protein_coding 164 176 182 163 179 13 93 79 46 65 34 62 78 124 106 93 43 118 63 98 98 90
Wnt3 ENSMUSG00000000125 Wnt3 protein_coding 2 1 2 0 9 2 2 2 0 0 1 1 0 5 0 9 3 10 0 2 1 0
Wnt9a ENSMUSG00000000126 Wnt9a protein_coding 53 40 85 22 58 15 16 31 15 18 14 3 14 30 21 43 33 25 12 14 14 16
Fer ENSMUSG00000000127 Fer protein_coding 394 492 489 437 554 222 444 356 356 335 357 426 375 537 464 403 281 420 151 204 250 173
Xpo6 ENSMUSG00000000131 Xpo6 protein_coding 1577 1845 2091 1804 1800 545 2116 1503 1671 1169 1347 1649 1363 1902 1626 2194 755 1417 625 623 898 640
Tfe3 ENSMUSG00000000134 Tfe3 protein_coding 937 987 1042 957 1226 495 1267 857 1101 945 811 906 863 1154 872 1247 639 834 423 334 469 380
Axin2 ENSMUSG00000000142 Axin2 protein_coding 913 1159 1247 813 979 249 585 665 445 459 486 384 402 804 724 680 280 474 411 382 605 344
Brat1 ENSMUSG00000000148 Brat1 protein_coding 540 459 528 466 524 134 456 391 318 332 318 327 283 431 370 371 173 320 176 217 213 164
Gna12 ENSMUSG00000000149 Gna12 protein_coding 1457 1248 1193 1059 1141 927 1148 728 558 576 601 597 454 1228 1155 1385 866 1142 485 559 702 439
Slc22a18 ENSMUSG00000000154 Slc22a18 protein_coding 2251 2508 2194 2274 3495 2168 2781 3024 3057 3327 2782 3388 3086 3588 2709 2615 2187 2801 909 851 988 1075
Itgb2l ENSMUSG00000000157 Itgb2l protein_coding 156 221 274 251 288 17 162 521 449 277 514 628 370 86 45 117 11 29 79 73 65 75
Igsf5 ENSMUSG00000000159 Igsf5 protein_coding 556 612 529 655 666 1663 1154 1134 1419 1105 1083 1429 1064 826 925 685 1364 1363 155 144 183 114
Pih1d2 ENSMUSG00000000167 Pih1d2 protein_coding 49 35 53 38 40 76 61 37 22 36 36 31 17 45 69 41 69 46 25 20 16 12
Dlat ENSMUSG00000000168 Dlat protein_coding 2169 2861 3396 2739 3296 1732 3321 2109 1953 2313 1899 2258 2237 3187 2547 2692 1744 2816 836 920 1031 986
Sdhd ENSMUSG00000000171 Sdhd protein_coding 6080 7989 6703 7149 8452 14295 10003 8614 8862 8078 8731 9424 7501 9787 9704 7843 12818 13152 2348 2386 2369 2271
Fgf23 ENSMUSG00000000182 Fgf23 protein_coding 1 0 5 18 10 0 4 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0
Ccnd2 ENSMUSG00000000184 Ccnd2 protein_coding 3519 6286 11296 5064 6526 1499 3470 3421 2095 2972 2410 2660 2533 5007 3674 4823 3142 2979 1977 2054 2675 2287
Gpr107 ENSMUSG00000000194 Gpr107 protein_coding 2407 2934 2924 2518 3079 1419 2712 2712 2628 2368 2239 2578 2313 2847 2471 2694 1481 1875 1098 1057 1204 947
Nalcn ENSMUSG00000000197 Nalcn protein_coding 28 11 31 28 25 4 5 12 9 20 15 28 15 17 13 4 2 5 13 10 12 14
Btbd17 ENSMUSG00000000202 Btbd17 protein_coding 13 1 4 6 4 4 8 3 3 1 4 14 5 0 6 6 9 6 4 0 3 1
Slfn4 ENSMUSG00000000204 Slfn4 protein_coding 982 1318 1873 1961 1865 2296 3847 5290 10168 5228 7932 14395 5036 4294 1698 3150 1886 3000 653 304 572 890
Th ENSMUSG00000000214 Th protein_coding 0 5 2 1 2 0 0 6 0 4 3 0 0 2 1 1 0 0 2 2 5 0
Ins2 ENSMUSG00000000215 Ins2 protein_coding 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Scnn1g ENSMUSG00000000216 Scnn1g protein_coding 2 134 38 21 35 11 92 115 30 151 93 104 41 69 48 104 43 36 19 24 35 35
Drp2 ENSMUSG00000000223 Drp2 protein_coding 46 82 74 54 67 5 61 84 70 62 69 68 72 83 77 88 28 27 23 26 13 31
Tspan32 ENSMUSG00000000244 Tspan32 protein_coding 50 76 67 70 93 203 83 183 64 82 111 123 63 74 154 140 93 145 8 14 14 14
Lhx2 ENSMUSG00000000247 Lhx2 protein_coding 2 6 10 1 6 0 1 3 0 0 0 4 0 2 1 7 5 2 2 0 2 0
Clec2g ENSMUSG00000000248 Clec2g protein_coding 7 1 2 13 6 13 7 15 7 3 6 8 8 23 13 11 7 22 1 2 2 0
Gmpr ENSMUSG00000000253 Gmpr protein_coding 418 579 861 437 505 310 339 307 227 296 221 328 239 425 299 199 268 261 274 228 345 213
Mid2 ENSMUSG00000000266 Mid2 protein_coding 1480 2111 1736 1852 2116 584 1444 1966 1071 1164 1113 1297 1390 1612 1461 1263 653 1024 618 585 738 558
Trim25 ENSMUSG00000000275 Trim25 protein_coding 3216 4450 5201 4808 6593 2623 4826 6562 8055 6782 6555 8317 6395 6578 4427 5936 3437 4184 2001 1753 1717 2866
Dgke ENSMUSG00000000276 Dgke protein_coding 328 477 397 368 562 165 252 379 247 298 280 315 291 384 252 301 140 157 168 122 155 174
Scpep1 ENSMUSG00000000278 Scpep1 protein_coding 1167 1479 1111 1421 1560 1003 2262 1193 1111 1063 1079 1303 1062 1974 2118 2465 1485 2418 458 513 574 378
Mnt ENSMUSG00000000282 Mnt protein_coding 610 818 900 905 975 194 890 795 674 794 708 805 738 818 560 956 334 483 376 343 470 283
Itgb2 ENSMUSG00000000290 Itgb2 protein_coding 1373 406 550 859 691 563 1644 1221 745 700 737 879 675 1115 1136 2619 661 1400 94 120 112 109
Hddc2 ENSMUSG00000000295 Hddc2 protein_coding 221 312 280 241 251 1165 515 335 470 456 446 503 344 371 495 304 913 712 106 121 123 73
Tpd52l1 ENSMUSG00000000296 Tpd52l1 protein_coding 295 224 53 119 119 124 128 35 43 73 27 33 59 103 176 72 78 82 109 104 146 48
Pemt ENSMUSG00000000301 Pemt protein_coding 96 106 90 81 93 199 136 94 114 111 97 94 68 89 138 131 144 171 30 38 39 26
Cdh1 ENSMUSG00000000303 Cdh1 protein_coding 16945 26449 31376 21002 25751 11297 28250 27278 32674 29412 24837 30706 27960 27131 18861 27191 10211 13935 9310 9975 13289 7854
Cdh4 ENSMUSG00000000305 Cdh4 protein_coding 18 21 20 9 15 0 15 3 3 5 3 6 13 20 4 14 3 3 8 7 10 11
Ckmt1 ENSMUSG00000000308 Ckmt1 protein_coding 18015 45895 60619 33845 29419 23417 31958 43900 28325 41335 27789 37638 33510 30473 23349 18998 23443 21787 9322 10548 14362 6074
Bcl6b ENSMUSG00000000317 Bcl6b protein_coding 51 70 105 62 86 36 74 66 26 69 37 41 50 99 68 117 43 59 40 23 29 34
Clec10a ENSMUSG00000000318 Clec10a protein_coding 152 63 193 186 269 189 124 102 38 72 78 52 67 254 268 245 182 215 38 29 35 49
Alox12 ENSMUSG00000000320 Alox12 protein_coding 78 49 51 40 59 13 42 22 29 13 9 14 20 36 29 25 13 25 12 20 19 14
Comt ENSMUSG00000000326 Comt protein_coding 2009 2329 2575 2151 2803 1616 2329 1695 1530 1580 1580 1737 1376 2824 2833 2336 2634 2856 897 1007 1147 910
Rtca ENSMUSG00000000339 Rtca protein_coding 739 757 642 715 916 655 780 645 463 433 520 633 473 733 897 766 689 1005 413 355 417 458
Dbt ENSMUSG00000000340 Dbt protein_coding 831 1212 1150 980 1201 563 771 847 692 686 836 751 625 986 951 966 715 1038 420 459 523 453
Dazap2 ENSMUSG00000000346 Dazap2 protein_coding 7426 9617 9189 8130 9106 8449 10643 10627 9028 8171 8684 9981 8333 10291 9997 9603 8635 11212 3312 3489 3721 2858
Mcts1 ENSMUSG00000000355 Mcts1 protein_coding 734 793 780 787 827 1348 831 1184 929 882 901 1020 826 623 786 539 831 911 268 227 220 238
Rem1 ENSMUSG00000000359 Rem1 protein_coding 124 109 165 103 117 87 85 69 49 57 50 75 59 144 80 121 78 83 85 46 92 47
Rnf17 ENSMUSG00000000365 Rnf17 protein_coding 2 9 0 2 5 6 3 5 6 4 3 1 3 6 1 4 0 0 1 2 1 0
Trappc10 ENSMUSG00000000374 Trappc10 protein_coding 3040 3858 4649 3566 4571 1515 4217 3606 3132 2712 2981 3444 3152 4497 3419 3882 2223 4366 1256 1328 1709 1311
Ccm2 ENSMUSG00000000378 Ccm2 protein_coding 798 794 1007 770 897 1079 1002 770 694 646 691 825 552 1131 1088 1014 1064 1184 309 285 365 281
Tbrg4 ENSMUSG00000000384 Tbrg4 protein_coding 2119 2214 2631 2146 2813 1628 3215 2284 2451 1867 2412 2554 2027 2593 2554 2903 2197 2967 825 808 976 831
Tmprss2 ENSMUSG00000000385 Tmprss2 protein_coding 8052 18626 21539 15705 16923 12157 16197 20263 11806 16880 13846 15297 13653 22327 11432 14436 11117 13327 5101 4009 5888 3630
Mx1 ENSMUSG00000000386 Mx1 protein_coding 223 114 144 186 263 77 200 438 569 425 391 566 320 210 116 170 119 164 88 59 75 77
Fap ENSMUSG00000000392 Fap protein_coding 133 131 131 118 205 96 77 80 61 38 62 65 65 74 89 108 107 113 70 57 70 59
Gcg ENSMUSG00000000394 Gcg protein_coding 2072 1775 791 1331 1486 1013 1260 464 345 678 410 445 590 882 1732 672 1144 1180 629 877 958 454
Ndufa9 ENSMUSG00000000399 Ndufa9 protein_coding 2715 3441 2819 2958 3540 4397 4353 3361 3083 3219 3307 4169 3077 3774 3711 3374 4441 4969 980 1026 1171 988
Egfl6 ENSMUSG00000000402 Egfl6 protein_coding 15 12 7 7 6 9 0 0 0 1 2 1 5 0 6 0 4 3 0 3 2 2
Lck ENSMUSG00000000409 Lck protein_coding 196 192 97 191 212 497 352 472 345 281 439 395 219 369 415 539 373 622 31 47 38 42
Tssk3 ENSMUSG00000000411 Tssk3 protein_coding 1 1 4 1 2 0 0 3 5 3 4 5 0 3 0 0 2 3 1 0 1 0
Cttnbp2 ENSMUSG00000000416 Cttnbp2 protein_coding 308 367 766 245 375 62 112 237 91 170 131 186 136 223 135 135 69 87 173 160 191 115
Galnt1 ENSMUSG00000000420 Galnt1 protein_coding 2845 3239 2824 3096 3457 2746 4467 3468 3461 2985 3266 3874 2926 3885 3847 4104 2858 4393 1071 1089 1316 942
Mkrn2 ENSMUSG00000000439 Mkrn2 protein_coding 402 467 553 388 487 312 489 352 255 292 329 345 271 492 462 383 343 447 980 934 1153 868
Pparg ENSMUSG00000000440 Pparg protein_coding 2475 2121 947 1757 3109 1577 2004 1666 2327 1788 1718 1798 2102 2486 2648 2492 1861 2260 778 874 845 1165
Raf1 ENSMUSG00000000441 Raf1 protein_coding 1151 1366 1443 1307 1493 477 1267 1213 792 771 915 999 903 1345 1322 1334 760 1552 1460 1402 1646 1360
Sept1 ENSMUSG00000000486 Sept1 protein_coding 179 195 201 201 202 319 308 418 292 230 364 366 181 324 451 531 329 419 48 47 68 57
Pdgfb ENSMUSG00000000489 Pdgfb protein_coding 350 288 300 289 309 208 281 218 177 165 163 207 152 350 254 398 144 190 131 115 141 88
Acvrl1 ENSMUSG00000000530 Acvrl1 protein_coding 904 958 1122 815 942 475 736 596 425 498 432 468 448 1164 818 1143 542 690 391 382 526 316
Grasp ENSMUSG00000000531 Grasp protein_coding 232 205 109 137 152 89 109 75 68 105 59 76 87 153 119 141 88 101 85 66 83 50
Acvr1b ENSMUSG00000000532 Acvr1b protein_coding 3424 3552 4785 3599 4709 1198 3449 3549 3628 2987 3039 3343 3322 4195 2808 3567 1545 2310 1745 1555 1741 1516
Tom1l2 ENSMUSG00000000538 Tom1l2 protein_coding 2722 2852 3048 2401 3128 749 2167 2614 2382 2471 2276 2798 2401 2487 1684 1764 773 1345 1248 1010 1056 1162
Gpa33 ENSMUSG00000000544 Gpa33 protein_coding 12325 19396 20852 16727 20008 8396 20957 17654 19363 16447 16175 19945 17546 21722 17439 20957 13059 17781 6121 5959 7480 6140
Zfp385a ENSMUSG00000000552 Zfp385a protein_coding 327 234 397 274 348 75 269 181 122 156 123 181 136 402 288 472 220 337 142 153 144 116
Itga5 ENSMUSG00000000555 Itga5 protein_coding 1839 1530 3166 1527 2189 366 1314 1412 1653 1545 1188 1277 1614 2365 1354 2235 516 1013 728 774 813 797
Gabra2 ENSMUSG00000000560 Gabra2 protein_coding 7 3 0 0 0 0 1 0 1 0 0 0 2 0 1 2 0 2 2 1 0 1
Wdr77 ENSMUSG00000000561 Wdr77 protein_coding 477 448 554 442 531 854 620 456 537 422 494 546 433 484 542 651 706 595 112 92 142 121
Adora3 ENSMUSG00000000562 Adora3 protein_coding 6 10 12 8 13 7 12 19 13 9 11 4 10 8 5 25 18 15 1 3 4 3
Atp5f1 ENSMUSG00000000563 Atp5f1 protein_coding 8484 10653 8696 9362 11123 28178 13786 12367 12706 12595 12658 14226 11713 12468 13696 10009 24254 20596 3303 3389 3752 3281
Sox9 ENSMUSG00000000567 Sox9 protein_coding 1637 1832 2409 1370 1353 543 1015 713 586 591 542 571 578 1201 1127 1179 485 448 802 641 792 397
Hnrnpd ENSMUSG00000000568 Hnrnpd protein_coding 2729 3190 3849 3108 3547 2157 4424 2594 2939 2470 2792 3044 2813 3156 3077 3731 2565 2808 1275 1182 1439 1064
Dynlt1c ENSMUSG00000000579 Dynlt1c protein_coding 184 194 303 249 146 253 506 165 438 231 145 168 348 163 146 104 718 578 48 31 38 30
C1d ENSMUSG00000000581 C1d protein_coding 884 1214 1034 966 1151 3519 1231 1327 1168 1181 1290 1413 1185 1251 1475 1000 2630 2274 353 427 390 341
Gm2a ENSMUSG00000000594 Gm2a protein_coding 1442 1479 1866 1619 1572 2331 1925 1935 987 1404 1359 1447 1202 2415 2209 3343 2421 2465 366 437 554 370
Krit1 ENSMUSG00000000600 Krit1 protein_coding 1094 1026 1326 1001 1382 652 935 1272 924 812 893 1062 719 1025 804 886 546 697 540 376 520 447
Clcn4 ENSMUSG00000000605 Clcn4 protein_coding 2404 2427 2750 2288 2656 1190 2460 2647 1929 1941 2125 2250 2207 2350 2191 2431 1418 2090 999 996 1081 843
Grm6 ENSMUSG00000000617 Grm6 protein_coding 0 6 3 0 2 5 0 9 10 14 15 12 4 0 16 1 3 1 0 0 0 0
Sema4f ENSMUSG00000000627 Sema4f protein_coding 19 29 20 25 26 43 70 112 230 61 143 139 59 63 50 67 46 49 3 13 11 11
Hk2 ENSMUSG00000000628 Hk2 protein_coding 4712 5527 8781 7928 9783 3791 17812 12505 22130 15408 12979 20305 20232 10905 8401 16656 5035 7264 922 1203 1706 1143
Myo18a ENSMUSG00000000631 Myo18a protein_coding 5619 6212 6709 6325 8543 1748 8345 10152 13049 9566 9924 12694 11348 7273 4831 8363 2003 3467 2327 2111 2615 2442
Sez6 ENSMUSG00000000632 Sez6 protein_coding 14 6 34 8 38 1 10 10 13 19 12 9 16 16 12 20 1 3 18 20 18 10
Haao ENSMUSG00000000673 Haao protein_coding 25 26 38 18 20 49 33 61 37 23 72 71 32 26 92 46 47 47 7 18 5 14
Cd52 ENSMUSG00000000682 Cd52 protein_coding 662 560 583 870 606 4128 1530 1932 997 1132 1396 1683 953 1451 2184 2149 2616 2286 146 163 133 222
Abhd15 ENSMUSG00000000686 Abhd15 protein_coding 20 15 16 21 27 4 19 28 9 9 13 23 9 22 33 55 9 17 51 37 75 63
Hoxb6 ENSMUSG00000000690 Hoxb6 protein_coding 1707 1186 73 916 1149 699 800 1347 2052 758 1517 1128 994 620 923 683 773 529 651 326 308 657
Loxl3 ENSMUSG00000000693 Loxl3 protein_coding 189 186 214 184 226 65 113 178 99 129 114 82 97 214 185 244 49 138 179 181 208 145
Btn1a1 ENSMUSG00000000706 Btn1a1 protein_coding 74 51 24 56 58 15 49 32 35 72 26 70 100 44 36 44 10 41 21 44 59 14
Kat2b ENSMUSG00000000708 Kat2b protein_coding 1691 1831 2011 1845 2016 1116 1620 1976 1548 1385 1467 1764 1458 1793 1590 1593 980 1743 773 609 725 623
Rab5b ENSMUSG00000000711 Rab5b protein_coding 2644 3172 3567 2827 3559 942 2422 2452 2050 2032 1793 2130 2242 3096 2548 2500 1595 2123 1323 1212 1396 1078
Cryba1 ENSMUSG00000000724 Cryba1 protein_coding 2 2 3 0 1 0 1 3 3 6 2 8 1 0 4 1 0 1 1 0 0 0
Dnmt3l ENSMUSG00000000730 Dnmt3l protein_coding 19 18 25 29 16 56 33 10 8 17 10 27 7 36 37 42 25 20 5 7 4 2
Aire ENSMUSG00000000731 Aire protein_coding 13 7 7 12 12 0 8 10 7 5 11 15 2 7 2 1 1 3 4 6 1 6
Icosl ENSMUSG00000000732 Icosl protein_coding 396 593 752 566 572 218 383 642 330 380 495 505 397 448 590 577 255 430 185 195 229 182
Spg7 ENSMUSG00000000738 Spg7 protein_coding 2777 3107 3017 2571 3002 1868 2854 2350 1989 2136 2098 2258 2148 3120 2528 2659 2236 2959 1025 1058 1043 1155
Sult5a1 ENSMUSG00000000739 Sult5a1 protein_coding 29 4 14 11 17 7 19 6 4 5 13 6 7 12 11 15 19 3 2 0 3 4
Rpl13 ENSMUSG00000000740 Rpl13 protein_coding 17002 20396 21711 16684 18424 53051 26469 18101 18078 17114 18192 19970 14266 25126 27734 22186 46012 37865 6080 6429 8296 5102
Chmp1a ENSMUSG00000000743 Chmp1a protein_coding 5181 6157 6695 5215 6077 6892 6917 6167 5585 5212 5163 6752 5160 6670 6090 5740 6256 8065 2218 2005 2196 1967
Rpa1 ENSMUSG00000000751 Rpa1 protein_coding 1176 1474 1808 1426 1379 1520 1635 1243 1291 1181 1237 1436 998 1495 1718 1842 1654 1785 367 450 537 421
Serpinf1 ENSMUSG00000000753 Serpinf1 protein_coding 267 171 350 216 360 131 186 84 49 66 59 67 64 356 248 352 175 212 125 126 129 156
Tubgcp3 ENSMUSG00000000759 Tubgcp3 protein_coding 944 1038 1559 1114 1164 620 1075 1234 765 724 874 1069 787 833 955 1032 715 1330 402 394 605 355
Oprm1 ENSMUSG00000000766 Oprm1 protein_coding 11 3 0 0 1 0 2 1 0 0 6 2 0 0 4 7 0 0 4 2 8 4
Polr3d ENSMUSG00000000776 Polr3d protein_coding 530 577 481 480 448 452 648 291 367 276 330 331 283 393 612 504 436 449 202 175 214 122
Tcf7 ENSMUSG00000000782 Tcf7 protein_coding 168 241 241 148 222 131 147 151 77 111 134 161 112 292 298 368 127 261 64 77 82 93
Ddx3x ENSMUSG00000000787 Ddx3x protein_coding 10514 12012 13945 11107 14870 6650 12851 11429 9197 7702 8992 10835 8048 12315 11016 13250 5802 9305 4624 4331 5458 4557
Il12rb1 ENSMUSG00000000791 Il12rb1 protein_coding 74 37 37 84 51 92 117 115 87 109 140 134 97 101 114 222 84 180 16 4 7 8
Slc5a5 ENSMUSG00000000792 Slc5a5 protein_coding 33 18 16 23 28 9 33 19 32 37 16 32 15 24 12 21 6 7 12 12 24 13
Kcnn3 ENSMUSG00000000794 Kcnn3 protein_coding 475 548 529 380 621 35 140 235 129 197 144 185 196 255 192 269 37 83 181 204 244 231
Usp32 ENSMUSG00000000804 Usp32 protein_coding 1170 1420 1572 1206 1757 488 1085 1361 1177 963 1067 1176 1045 1455 1170 1323 388 943 541 427 662 585
Car4 ENSMUSG00000000805 Car4 protein_coding 11769 23757 27993 16444 18710 19155 23629 12939 17599 23254 13588 22049 21491 12643 15413 7084 13217 14521 5463 5765 8801 4675
Txnrd3 ENSMUSG00000000811 Txnrd3 protein_coding 276 293 326 194 234 147 263 115 144 145 136 184 132 231 183 229 142 169 112 92 119 78
Fasl ENSMUSG00000000817 Fasl protein_coding 14 30 0 14 8 30 26 33 29 21 29 14 10 22 20 46 14 40 2 0 7 5
Zfp512b ENSMUSG00000000823 Zfp512b protein_coding 591 653 1235 668 697 98 518 792 530 567 643 788 653 487 363 491 139 293 328 234 305 244
Dnajc5 ENSMUSG00000000826 Dnajc5 protein_coding 3846 4235 6528 4181 4691 1986 4607 4780 4222 3963 4129 5312 4323 4694 3978 4831 2014 3629 1749 1607 1782 1465
Tpd52l2 ENSMUSG00000000827 Tpd52l2 protein_coding 1374 1514 1656 1347 1562 2303 1381 1221 960 1003 932 997 763 1584 1545 1390 2064 1859 618 561 642 530
Fmr1 ENSMUSG00000000838 Fmr1 protein_coding 1568 2027 2546 1866 2382 1261 1975 2137 1578 1327 1706 2015 1358 2119 1937 2144 1362 1972 813 632 855 738
Bcl11a ENSMUSG00000000861 Bcl11a protein_coding 282 331 238 257 294 165 245 263 175 132 242 255 206 342 292 335 200 243 159 129 140 193
Il4 ENSMUSG00000000869 Il4 protein_coding 7 23 31 21 35 21 19 21 7 25 21 18 16 12 19 9 6 11 12 4 9 8
Pxmp4 ENSMUSG00000000876 Pxmp4 protein_coding 976 1150 770 867 1368 644 791 706 703 805 690 667 739 1039 909 694 675 929 440 430 516 499
Dlg3 ENSMUSG00000000881 Dlg3 protein_coding 1512 1889 2267 1769 2232 1061 2099 2084 2229 2018 1955 2600 2008 2112 1505 1920 1132 1742 736 631 750 665
Gnb1l ENSMUSG00000000884 Gnb1l protein_coding 80 107 75 94 83 82 95 56 55 48 58 62 49 55 87 65 76 119 26 26 26 17
Dbh ENSMUSG00000000889 Dbh protein_coding 76 56 96 45 38 4 23 24 7 22 10 20 33 30 19 12 8 14 33 50 40 16
Mmp11 ENSMUSG00000000901 Mmp11 protein_coding 131 157 219 147 190 50 90 102 36 58 47 69 58 149 92 138 84 74 2050 1933 2366 2006
Smarcb1 ENSMUSG00000000902 Smarcb1 protein_coding 1182 1383 1654 1273 1521 1234 2019 1270 1365 1265 1406 1421 1281 1693 1701 1870 1524 1897 483 503 659 464
Vpreb3 ENSMUSG00000000903 Vpreb3 protein_coding 15 32 29 24 8 165 24 43 23 33 45 46 23 25 121 57 90 65 2 5 7 12
Hip1r ENSMUSG00000000915 Hip1r protein_coding 2015 2264 2016 2707 2456 2024 4365 3491 4402 3530 4005 4623 3617 2967 2406 3037 1625 2907 1017 895 1104 835
Nsun5 ENSMUSG00000000916 Nsun5 protein_coding 257 269 361 241 279 184 311 237 173 146 176 196 147 215 235 282 226 239 157 138 137 151
Top1mt ENSMUSG00000000934 Top1mt protein_coding 210 156 287 218 188 163 254 161 140 118 179 151 124 198 213 261 181 219 78 100 115 69
Hoxa10 ENSMUSG00000000938 Hoxa10 protein_coding 644 1003 1564 856 975 1310 1115 994 1120 1332 806 1000 770 1919 759 1427 1344 1519 531 476 577 279
Hoxa4 ENSMUSG00000000942 Hoxa4 protein_coding 37 29 19 28 37 14 21 25 33 23 24 27 21 12 27 29 7 8 13 14 19 14
Gm38393 ENSMUSG00000000948 Gm38393 protein_coding 87 85 68 75 97 0 21 53 22 8 34 23 15 52 34 34 2 32 48 26 28 47
Mmp14 ENSMUSG00000000957 Mmp14 protein_coding 3179 2595 3780 2996 3182 2131 4199 2476 2576 2514 2196 2919 2311 3684 2803 5397 1739 2858 1268 1294 1609 892
Slc7a7 ENSMUSG00000000958 Slc7a7 protein_coding 817 991 917 867 1007 676 1570 977 1254 858 980 1320 964 1183 1131 1382 763 1249 352 424 560 259
Oxa1l ENSMUSG00000000959 Oxa1l protein_coding 1684 1879 2026 1617 1937 1260 1949 1585 1300 1201 1380 1383 1269 1993 1833 1838 1382 1715 708 838 946 672
Heatr6 ENSMUSG00000000976 Heatr6 protein_coding 564 729 873 661 678 196 668 778 558 496 538 668 471 622 544 838 273 498 250 256 329 235
Ccl3 ENSMUSG00000000982 Ccl3 protein_coding 11 12 5 15 8 82 60 20 14 13 30 20 27 30 24 44 34 63 2 5 2 0
Wfdc18 ENSMUSG00000000983 Wfdc18 protein_coding 340 270 142 423 158 1548 1073 481 918 517 489 915 499 370 668 798 688 639 66 88 160 33
Ilf2 ENSMUSG00000001016 Ilf2 protein_coding 1147 1317 1325 1262 1358 1494 1866 1194 1379 1105 1376 1510 1123 1446 1440 1531 1663 1590 432 435 521 363
Chtop ENSMUSG00000001017 Chtop protein_coding 3154 3393 3548 3061 3587 3645 3790 3233 2941 2630 2885 3209 2622 3196 3400 3673 3965 3985 1080 1170 1264 1054
Snapin ENSMUSG00000001018 Snapin protein_coding 742 904 795 652 763 438 693 685 489 535 612 596 529 689 665 589 536 786 365 376 422 321
S100a4 ENSMUSG00000001020 S100a4 protein_coding 9 2 3 5 5 25 2 6 7 7 6 5 8 2 1 4 9 13 0 0 0 0
S100a3 ENSMUSG00000001021 S100a3 protein_coding 6 0 6 2 5 9 1 1 4 2 3 7 5 1 2 4 4 3 2 0 0 0
S100a5 ENSMUSG00000001023 S100a5 protein_coding 0 0 2 0 3 2 1 0 0 0 0 0 1 3 0 8 0 0 0 1 1 0
S100a6 ENSMUSG00000001025 S100a6 protein_coding 15240 21730 31701 18961 17325 53198 24308 21234 22082 26904 18455 26953 20110 29745 23221 17614 43980 27743 8139 6351 7339 4427
Scn4a ENSMUSG00000001027 Scn4a protein_coding 1 5 11 5 2 7 1 9 2 5 5 18 3 8 11 7 4 0 0 0 2 2
